id,name,neighborhood,latitude,longitude,price
13900265,1 Bdrm Apt in North PB 3 Blocks from Beach,Pacific Beach,32.80571,-117.252,134
13900845,1 Bedroom w/private bathroom minutes from Beach,Pacific Beach,32.79745,-117.24235,80
13900946,U4.Comfortable Gaslamp home 2blocks to convention,Gaslamp Quarter,32.70768,-117.15992,150
13901929,Walk everywhere! Cozy urban room,Little Italy,32.72759,-117.17061,90
13903424,Cozy Private Bedroom in central location,Grantville,32.7865,-117.10997,50
13903598,Affordable Accommodations,Linda Vista,32.77894,-117.16732,97
13909685,Modern Condo with great patio. Near everything!,North Hills,32.7639,-117.12937,150
13909962,Robinson Place,Midtown,32.74653,-117.14879,50
13913126,5 minute walk to Gaslamp Quarter! Free Parking!,East Village,32.71104,-117.15326,250
13913640,Nicely remodeled one bedroom with bed,Pacific Beach,32.80238,-117.23486,60
13914063,Comfortable town-home room & bath in Pacific Beach,Pacific Beach,32.79851,-117.23546,60
13914165,Quinta Montezuma - Julia,College Area,32.7717,-117.0661,40
13914724,Private Bedroom & Attached Full Bath in Hillcrest,Old Town,32.75444,-117.1622,85
13915403,South Park,South Park,32.72585,-117.12087,65
13915673,"Cozy one bedroom apartment, 15 min from Del Mar",North City,32.96979,-117.17615,70
13915839,Private Room & PR Bath Beautiful Home Close to Bay,Northwest,32.63543,-117.07209,58
13927609,Private Bankers Hill Hide-Away. Perfect for 2,Midtown,32.74006,-117.16781,165
13929006,Shells Green Private Room steps from the Beach!!!,Pacific Beach,32.80254,-117.25678,70
13929419,Charming room in a center location,Loma Portal,32.75289,-117.23084,69
13929908,Historic/Modern loft with Skyline & Sunset Views,Balboa Park,32.71849,-117.13915,150
13930822,Beautiful 1920's Point Loma Spanish House,Roseville,32.72558,-117.23076,245
13938351,Large 1br in Downtown San Diego (Bankers Hill),Park West,32.72765,-117.1603,250
13938478,LUX  Downtown Beautiful View 2bd Apt,Core,32.71844,-117.15628,250
13939047,South Mission Cabana - Cozy Beach Living!,Mission Bay,32.76617,-117.25145,300
13939093,Private 1 Room/Bath/AC in the Heart of Hillcrest,North Hills,32.74772,-117.14444,70
13939488,Private Poolside Bedroom Steps From the Beach.,La Jolla,32.8596,-117.25066,96
13941940,Beautiful Canyon Property - Minutes to Downtown!,North Hills,32.73369,-117.12664,299
13942144,Charming 1926 Historic Bungalow in Mission Hills,Old Town,32.7538,-117.17373,188
13942880,"Clean, Quiet Home. Near Downtown, ocean, & hiking.",Serra Mesa,32.80221,-117.11929,60
13943625,6.8 miles to Comic Con! 1 bedroom apartment.,Normal Heights,32.76429,-117.11703,125
13944895,Marigold,Rancho Penasquitos,32.9483,-117.14478,250
13952004,Karma Cabana – Treat yourself to a Relaxing night,Clairemont Mesa,32.80614,-117.17415,94
13953494,1-Bed/1-Bath steps from Kellogg Beach,Wooded Area,32.70966,-117.23856,65
13954132,Beautiful Room and Bath at Beach Condo in La Jolla,La Jolla,32.82393,-117.27489,100
13954827,Ty's 1bd/ba w a pool,Jomacha-Lomita,32.7185,-117.02513,120
13956015,2 Blocks to Convention Center - Heart of Gaslamp,Marina,32.71231,-117.16255,175
13958473,Lovely Studio near Restaurants & Nightlife,Gaslamp Quarter,32.71503,-117.15987,144
13958671,Private Entry Studio Casita,Yosemite Dr,32.65124,-116.95203,55
